ID, Higher ID, Reference ID, Reference Sequence, Repository ID, Comment, UID, Last Changed
-1,0,-1,1,-1,"","39FB8FC97D1D4FB72B89B2358E8DAE46D6B9",2459669
-2,0,-2,1,-1,"","7F7B7A5AA584A92C9C964980EB0D6D81AD4F",2459669
-3,0,-3,1,-1,"","3B29D9CBBFC026894610CBF57A1B66E229D7",2459669
-4,0,-4,1,-1,"","7DCDC4FAA1E46588AAA3FB8FAF34A7D6B13D",2459669
-5,0,-5,1,-1,"","E414C0F4A973DD4CB166B715C1F3723C367D",2459669
-6,0,-6,1,-1,"","7D2E0FE7A86CB699B9A6E43E38D09995BB07",2459669
-7,0,-7,1,-1,"","5325DBA2F10AA582130FBFDF73E40D3974EE",2459669
-8,0,-8,1,-1,"","7885242FFC87A4591957FF0095F98C1C7562",2459669
-9,0,-9,1,-1,"","26B25CDD8387153477ABCCDE461EDEA91B00",2459669
