ID, Title, Higher ID, Event Type ID,Date1 ID, Date2 ID, Place ID, Note, Date Point, User Reference
29,"Birth of Lilibet Mountbatten-Windsor",0,-1,25,0,23,"",2459370,""
28,"Birth of Archie Mountbatten-Windsor",0,-1,24,0,22,"",2458610,""
27,"Birth of Camilla Shand",0,-1,23,0,21,"",2432384,""
26,"Marriage of Henry Mountbatten-Windsor and Meghan Markle",0,-3,22,0,20,"",2457893,""
25,"Birth of Meghan Markle",0,-1,21,0,19,"",2444821,""
24,"Birth of Henry Mountbatten-Windsor",0,-1,20,0,18,"",2445959,""
23,"Birth of Catherine Middleton",0,-1,19,0,17,"",2444979,""
22,"Birth of William Mountbatten-Windsor",0,-1,18,0,16,"",2445142,""
21,"Death of Diana Spencer",0,-2,17,0,15,"",2450692,""
20,"Birth of Diana Spencer",0,-1,16,0,14,"",2437482,""
19,"Birth of Charles Mountbatten-Windsor",0,-1,15,0,13,"",2432870,""
18,"Birth of Louis Mountbatten-Windsor",0,-1,14,0,12,"",2458232,""
17,"Birth of Charlotte Mountbatten-Windsor",0,-1,13,0,11,"",2457145,""
16,"Birth of George Mountbatten-Windsor",0,-1,12,0,10,"",2456496,""
15,"Death of Phillip Mountbatten",0,-2,11,0,9,"",2459314,""
14,"Death of Elizabeth Mary Windsor",0,-2,10,0,8,"",2459831,""
13,"Marriage of Elizabeth Mary Windsor and Phillip Mountbatten",0,-3,6,0,4,"",2432510,""
9,"Occupation of Albert Windsor",0,-18,0,0,0,"",0,""
4,"Occupation of Phillip Mountbatten",0,-18,0,0,0,"",0,""
3,"Occupation of Elizabeth Mary Windsor",0,-18,0,0,0,"",0,""
2,"Birth of Elizabeth Mary Windsor",0,-1,2,0,2,"",2424627,""
1,"Birth of Phillip Mountbatten",0,-1,1,0,1,"",2422851,""
