ID, Name ID, Type ID, Value, Sequence
102,50,-2,"Mountbatten-Windsor",2
101,50,-1,"Lilibet",1
100,49,-2,"Mountbatten-Windsor",2
99,49,-1,"Archie",1
98,48,-2,"Markle",2
97,48,-1,"Meghan",1
96,47,-2,"Mountbatten-Windsor",2
95,47,-1,"Louis",1
94,46,-2,"Mountbatten-Windsor",2
93,46,-1,"Charlotte",1
92,45,-2,"Mountbatten-Windsor",2
91,45,-1,"George",1
90,44,-2,"Bowes-Lyon",1
89,43,-2,"Windsor",4
88,43,-1,"M",3
87,43,-1,"A",2
86,43,-1,"Elizabeth",1
85,42,-2,"Glucksburg",2
84,42,-1,"Phillip",1
83,41,-2,"Glucksburg",2
82,41,-1,"Sophie",1
81,40,-2,"Glucksburg",2
80,40,-1,"Theodora",1
79,39,-2,"Glucksburg",2
78,39,-1,"Margarita",1
77,38,-2,"Battenberg",2
76,38,-1,"Alice",1
75,37,-2,"Glucksburg",2
74,37,-1,"Andrew",1
73,36,-2,"Fisher",2
72,36,-1,"Geoffrey",1
71,35,-2,"Glucksburg",2
70,35,-1,"Alice",1
69,34,-2,"Bowes-Lyon",2
68,34,-1,"Elizabeth",1
67,33,-2,"Windsor",2
66,33,-1,"George",1
65,32,-2,"Windsor",2
64,32,-1,"George",1
63,31,-2,"Glucksburg",2
62,31,-1,"Andrew",1
61,30,-2,"Armstrong-Jones",2
60,30,-1,"Antony",1
59,29,-2,"Windsor",2
58,29,-1,"Margaret",1
57,28,-2,"Bowes-Lyon",2
56,28,-1,"Elizabeth",1
55,27,-2,"Windsor",2
54,27,-1,"Albert",1
53,26,-2,"Windsor",2
52,26,-1,"Elizabeth",1
51,25,-2,"Mountbatten",2
50,25,-1,"Phillip",1
49,24,-2,"Mountbatten-Windsor",2
48,24,-1,"James",1
47,23,-2,"Mountbatten-Windsor",2
46,23,-1,"Louise",1
45,22,-2,"Mountbatten-Windsor",2
44,22,-1,"Eugenie",1
43,21,-2,"Mountbatten-Windsor",2
42,21,-1,"Beatrice",1
41,20,-2,"Tindall",2
40,20,-1,"Micheal",1
39,19,-2,"Phillips",2
38,19,-1,"Savannah",1
37,18,-2,"Kelly",2
36,18,-1,"Autumn",1
35,17,-2,"Phillips",2
34,17,-1,"Zara",1
33,16,-2,"Phillips",2
32,16,-1,"Peter",1
31,15,-2,"Middleton",2
30,15,-1,"Catherine",1
29,14,-2,"Mountbatten-Windsor",2
28,14,-1,"Henry",1
27,13,-2,"Mountbatten-Windsor",2
26,13,-1,"William",1
25,12,-2,"Rhys-Jones",2
24,12,-1,"Sophie",1
23,11,-2,"Ferguson",2
22,11,-1,"Sarah",1
21,10,-2,"Laurence",2
20,10,-1,"Timothy",1
19,9,-2,"Phillips",2
18,9,-1,"Mark",1
17,8,-2,"Shand",2
16,8,-1,"Camilla",1
15,7,-2,"Spencer",2
14,7,-1,"Diana",1
13,6,-2,"Mountbatten-Windsor",2
12,6,-1,"Edward",1
11,5,-2,"Mountbatten-Windsor",2
10,5,-1,"Andrew",1
9,4,-2,"Mountbatten-Windsor",2
8,4,-1,"Ann",1
7,3,-2,"Mountbatten-Windsor",2
6,3,-1,"Charles",1
5,2,-2,"Mountbatten",2
4,2,-1,"Phillip",1
3,1,-2,"Windsor",3
2,1,-1,"Mary",2
1,1,-1,"Elizabeth",1
